zone,state,city,name,type,time_needed_to_visit_in_hrs,google_review_rating,entrance_fee_in_inr,airport_with_50km_radius,weekly_off,significance,dslr_allowed,number_of_google_review_in_lakhs,best_time_to_visit,time_needed_hrs,duration_bucket,entrance_fee,budget_bucket,sentiment_score,review_count,sample_reviews
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,2.0,4.5,50,Yes,,Historical,Yes,0.32,All,2.0,Short,50,Low,0.0282,5,"better expected boyfriend originally ponce time staying getting married home needed care stuff busin... || substandard just returned weekend stay hotel air berlin, impression 2-star hotel rated 3-star, break..."
Northern,Rajasthan,Jaipur,Amber Fort,Fort,2.0,4.6,100,Yes,,Historical,Yes,1.5,All,2.0,Short,100,Low,0.5893,10,"uneven occidental grand just returned week long vacation occidental grand flamenco key word- know pr... || grand flemenco paradise just returned punta cana mar 28. week n't long beautiful place, honestly no ..."
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,1.5,Short,35,Low,0.9744,8,"good value european city july, stayed years ago, clean small rooms quite hot humid july small useles... || doubts read wife couple stayed paradisus 8 nights mid, admit reading reviews leading trip bit nervou..."
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1.0,4.6,0,Yes,,Nature,Yes,0.5,All,1.0,Short,0,Free,0.5726,5,"not return stayed occidental june 17-24. wears wrist bands couple went timeshare allegro resorts, ti... || return len visited dec 1 8. read reviews picky, went expectations thoroughly impressed, spend 60 day..."
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1.5,4.9,0,Yes,,Spiritual,Yes,1.9,All,1.5,Short,0,Free,0.8855,7,"hotels tips, great hotel really shows sat actually thought customers want like need, reasonable pric... || worst honeymoon trip worst honeymoon trip n't go.. service desk terrible.. food wa n't great okay.. ..."
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1.0,4.8,0,Yes,,Historical,Yes,0.3,Afternoon,1.0,Short,0,Free,0.9628,3,"great view did not really know expect stayed silvermine beach hotel mixed reports yes walked hotel l... || dated faded not 5 star, sure point place beauty dated tired, came husband step-kids 12 13 not lookin..."
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,2.0,4.8,0,Yes,,Cultural,Yes,0.17,Evening,2.0,Short,0,Free,0.5427,8,"paradise re-visited stayed 2 nights late october, second time year, friend came bali time fell love ... || cambridge suites family spent enjoyable nights cambridge suites august 2005. stayed number historic ..."
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,2.0,4.5,30,Yes,,Artistic,Yes,0.5,All,2.0,Short,30,Low,0.8183,5,"moderate hotel husband stayed ab skipper hotel weekend june, conference arts hotel originally wanted... || okay experience wo n't going, week stayed reserve just opened, stayed bedroom suite garden view, hug..."
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,1.5,4.5,0,Yes,,Recreational,Yes,0.11,All,1.5,Short,0,Free,0.89,5,"poor bathroom no major issues hotel major problem room lack, layout cubicles shower wc sink room und... || enjoyed stay punta cana princess, stayed punta cana princess july 18-25. husband 30 27 went couple l..."
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,2.0,4.3,0,No,,Nature,Yes,0.3,All,2.0,Short,0,Free,0.9006,10,"does n't better, moment arrive hong kong exceptional service begins, hotel transfer staff meet gate ... || great hotel paid fraction standard room price booking priceline.boston park plaza hotel 3* boston co..."
Southern,Kerala,Kochi,Fort Kochi,Site,1.0,4.4,0,Yes,,Historical,Yes,0.1,All,1.0,Short,0,Free,0.956,4,"perfect hotel fiancee stayed 5 nights july 08. not possibly fault hotel, location perfect bus airpor... || not bad stayed april 17-20th, location great, right entrance bourban street, main concerns distance ..."
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,1.0,4.7,0,Yes,,Religious,No,0.46,All,1.0,Short,0,Free,0.7371,5,"perfectly good business hotel travelling business expect hotel clean functional efficient, gws thing... || noisy hotel run commercial location hotel nothing special, fairly long hike harvard square buses not..."
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,1.5,3.9,0,Yes,,Recreational,Yes,0.059,All,1.5,Short,0,Free,0.7487,3,"great service hotel deteriorated employees hotel outstanding went way help make stay pleasant, helpf... || good overall problems given boutique hotel 5 stars going, problems dropped 3.5 rating probably close..."
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,3.0,4.5,300,No,,Wildlife,Yes,2.2,All,3.0,Short,300,Low,0.9736,9,gem embarcadero just finished two-night getaway hotel vitale enjoyable times had.we stayed joie vivr... || nice corporate westin stayed westin market street november 23rd pretty good non refundable internet ...
Southern,Kerala,Thekkady,Periyar National Park,National Park,3.0,4.3,50,No,,Wildlife,Yes,0.14,All,3.0,Short,50,Low,0.9829,7,"mature opulence original seasons hotel singapore, extremely convenient orchard area actually hussle ... || good choice just outside french quarter reading number reviews say bit worried staying, pleasantly s..."
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,2.0,3.8,50,Yes,,Wildlife,Yes,0.1,All,2.0,Short,50,Low,0.4446,6,"good bad went resort honeymoon booked honeymoon suite not recommend honeymooners way resort no near ... || melia caribe n't come food jiust make bullets quick reading horrible, took 20 min n't speak english ..."
Southern,Kerala,Varkala,Varkala Beach,Beach,2.0,4.6,0,Yes,,Recreational,Yes,0.1,All,2.0,Short,0,Free,0.8888,7,"best holiday d.r, read alot bad reviews traveled extensively, no need insult country people, advice ... || little outdated overall nice stayed rivoli nights, probably best service stayed italy, n't saying, d..."
Southern,Kerala,Bekal,Bekal Fort,Fort,1.5,4.5,20,No,,Historical,Yes,0.22,All,1.5,Short,20,Low,0.8537,4,"surprising great hotel, afraid booking not pretty hotel, surprise, wonderful hotel new clean, room l... || excellent hotel leisure traveler lives bangkok, stayed radisson 12 nights end september 2008. locati..."
Southern,Kerala,Kovalam,Kovalam Beach,Beach,2.0,4.4,0,Yes,,Recreational,Yes,0.68,All,2.0,Short,0,Free,0.9185,10,"victorian san francisco stayed nights little gem property san francisco, 1800 girls boarding school ... || loved staff visited resort girlfriends celebrate 50th birthday impressed staff franklin francesco fu..."
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1.0,4.4,20,Yes,,Historical,Yes,0.11,All,1.0,Short,20,Low,0.5417,10,"partial feelings just returned resort days ago, left july8 returned 15. check time hotel 3:00 pm unf... || lovely boutique hotel heart berlin berlin seeing new five-star hotel opening month classics remain r..."
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,1.0,4.5,0,No,,Nature,Yes,0.03,Morning,1.0,Short,0,Free,0.9729,3,great hotel word warning partner daughter rented 2 rooms weekend 16/17 november endorse previous pos... || loved loved loved hotel just returned girls trip nyc stayed affinia 50. tripadvisor.com read reviews...
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,1.5,Short,100,Low,0.7443,8,"reluctant stay unimpressed customer service hotel, presented credit card arrival pay stay hotel mach... || books wine location perfect hotel, library nyc, try stay library travel nyc, long continue offer spe..."
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,5.5,Medium,750,High,0.7486,6,"xmas ny eve holiday 2006 fantastic trip lifetime, spent glorious weeks sydney park hyatt xmas ny cel... || weird fun friendly did mention weird, place great, wish city hotel like, friend stayed room coffin b..."
Southern,Karnataka,Mysore,Mysore Palace,Palace,2.0,4.6,50,Yes,,Historical,Yes,2.5,All,2.0,Short,50,Low,0.7377,9,"clift rated, clift definitely rated, mentioned reviews doormen lazy worthless, thing worse guest ope... || great resort tell making major improvements say little concerned having read previous reviews.to bes..."
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,3.0,4.7,0,No,,Historical,Yes,0.05,All,3.0,Short,0,Free,0.9238,9,"did n't know expect thought better jw marriott hotels, good location right water near market great r... || wonderful location price, stayed plaza major nights trip spain n't satisfied, room 403 large corner ..."
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,1.0,4.1,0,No,,Nature,Yes,0.03,Morning,1.0,Short,0,Free,0.6088,6,"okay hotel strange feel, staff friendly quite cold lifeless, room clean compact, fairly close main a... || superb villas absolute value fifth cost 5 star hotel 6 star cruise ship 4x accomodations service, vi..."
Southern,Karnataka,Gokarna,Om Beach,Beach,2.0,4.5,0,No,,Nature,Yes,0.09,All,2.0,Short,0,Free,0.7288,6,"basic nothing special just visit berlin, city berlin lovely place someday not hotel agon frankfurter... || nice centrallly located hotel inglaterra delivered promised, staff welcoming spoke good english, cle..."
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,3.0,4.5,0,No,,Nature,Yes,0.05,All,3.0,Short,0,Free,0.3902,3,"absolutely not choice time square hotwire rates hotel 4 stars rating 2.5 stars definitely better hot... || nice hotel stayed 3 nights late april 07 westin grand, great location good access transportation wal..."
Southern,Karnataka,Badami,Badami Cave Temples,Cave,1.5,4.6,30,No,,Religious,No,0.2,All,1.5,Short,30,Low,0.9826,7,"prince staff shines wife night stay prince oct 9-15. staff accomodating welcoming, rooms currently u... || fabulous hotel, friend chose hotel new amsterdam extensive online research cancelling reservation ho..."
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1.5,4.6,30,No,,Nature,Yes,0.23,Morning,1.5,Short,30,Low,0.9504,4,"great stay stayed hotel 9th 14th april 199 night excellent experience heart hollywood, london extrem... || washington ok we__re spanish group 7 people betwen 28-30 years old, couples quad room quad room dif..."
Southern,Karnataka,Mangalore,Panambur Beach,Beach,1.5,4.5,0,Yes,,Recreational,Yes,0.1,All,1.5,Short,0,Free,0.8208,10,"enjoyable stay london bridge hotel husband recently weekend trip london way paris, enjoyed stay lond... || mixed review el conquistador just returned el conquistador stay 2 older children 16 20. opinions def..."
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,1.0,4.7,0,Yes,,Religious,No,0.49,All,1.0,Short,0,Free,0.9893,5,superb amazing hotel great location.this hotel 4 5 stars service quality room proves flawed star sta... || rated hotel having bali travel agent nz booked friend 13 nights hotel.the hotel big catered 200 peop...
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1.5,4.5,20,No,,Historical,Yes,0.25,All,1.5,Short,20,Low,0.9664,4,"maybe just unlucky, ok maybe just unlucky stayed 2 nights labor day weekend, husband staying kiddies... || good hotel stayed nights business.location great shopping sightseeing blocks orchard road, metro sto..."
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,3.0,4.4,300,No,,Wildlife,Yes,0.15,Morning,3.0,Short,300,Low,0.9283,10,"amazing little hotel just spent 4 days boston charlesmark, town convention based westin copley squar... || nice stayed san gallo palace 3 nights hotel clean staff friendly helpful, 20 min walk centre food dr..."
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1.0,4.7,15,No,,Religious,No,0.11,All,1.0,Short,15,Low,0.909,8,"dorado del mar decent spent week dorado del mar christmas new year, overall great way spend vacation... || holiday inn central plaza say n't storm not best trip lives, storm arranged checked make sure ok int..."
Western,Maharastra,Pune,Shaniwar Wada,Fort,2.0,4.4,50,Yes,,Historical,Yes,1.2,All,2.0,Short,50,Low,0.2062,4,"spacious stayed 2 bdr 2 ba w/sofa bed suite accomodated 6 nicely, problems 1. sofa bed sheets not ch... || superb, fantastic perfect location 2 blocks times square great rooms clean excellent staff helpful f..."
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,3.0,Short,30,Low,0.2312,9,overpriced overrated sivory second time feb 07 apr 06. year noticed minor faults service thought lac... || hotel wife just returned 14 days inna grand bali beach hotel 30 years travel beautiful grounds setti...
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,2.0,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,2.0,Short,300,Low,0.8302,5,"quiet spent night early october hotel, no site dinner restaurant offer breakfast lunch, rooms large ... || excellence excellent just retruned delightful 7 days excellence resort punta cana dominican republic..."
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1.5,4.7,0,Yes,,Religious,No,0.69,All,1.5,Short,0,Free,0.9863,4,"not bad price got good price place november 2004 online travel site thought check appreciate hotel m... || not luxury hotel not luxury hotel, regard mauna lanai punta cana resort golf club sonoma mission inn..."
Western,Maharastra,Alibaug,Alibaug Beach,Beach,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,1.5,Short,0,Free,0.9724,4,"centrally located stayed 5 nights, hotel centrally loacted minutes walk metro stops main square les ... || good city base husband just got 5 night stay sofitel happy choice, booked standardroom upgraded suit..."
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1.0,4.7,0,No,,Religious,No,0.1,All,1.0,Short,0,Free,0.9527,6,"peace quiet, basic hotel extremely steep staircases, lovely setting helpful hotel staff.the hotel sh... || great place hong kong place wonderful home hong kong, liked everyting, specially view night overlook..."
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,1.0,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,1.0,Short,0,Free,0.7787,9,"clean hotel attentive welcoming staff infinity pool rest left,  ... || returned hong kong today 2 march 05 othe people stated rooms small hotel not got 3rd floor meant noi..."
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,1.0,4.8,0,Yes,,Religious,No,0.9,All,1.0,Short,0,Free,0.7318,9,"awesome value, property amazing value fantastic location, room clean, opulent marble bathroom remind... || 3 pleasant days stayed 3 days july 07. ocean facing room older shorter 9-story building, 3rd floor r..."
Western,Maharastra,Lonavala,Karla Caves,Cave,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,1.5,Short,25,Low,0.6365,5,"not happy family group travelling booked directly online hotel given confirmation receive deluxe roo... || fabulous treated daughter fiance stay hotel loved, romantic, peaceful gorgeous rooms, meals expensiv..."
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,2.0,4.6,0,No,,Recreational,Yes,0.065,Evening,2.0,Short,0,Free,0.6546,7,"great location friendly welcome warmly welcomed rosanna room allocated loevely, clean quiet mini bar... || decent not hotel decent, building owned hotel block away little annoying main building breakfast qui..."
Western,Maharashtra,Satara,Kaas Plateau,Valley,2.0,4.4,300,No,,Nature,Yes,0.05,Afternoon,2.0,Short,300,Low,0.912,5,"great airport hotel used hotel quick overnight stay departing arriving miami.comfortable professiona... || faultless, say, place paradise.pool huge tons high quality loungers relaxing exciting.bar excellent ..."
Western,Maharashtra,Matheran,Echo Point,Viewpoint,1.5,4.4,0,Yes,,Nature,Yes,0.02,Morning,1.5,Short,0,Free,0.666,6,"adored hilton florence metropole, ca n't say great things hotel travel lot, desk extremely helpful p... || nice hotel traveladvisor, star hotel services not offered, best star hotel, meaning room clean clean..."
Western,Maharashtra,Ajanta,Ellora Caves,Cave,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,3.0,Short,30,Low,0.0432,6,"beautiful hotel noisy, stayed hotel nights, arrival given canal view room paid floor, concerned nois... || worst service, worst experience long time, desk staff rude disrepectful, wait hours room readied bag..."
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,2.0,4.7,40,No,,Cultural,Yes,0.09,Afternoon,2.0,Short,40,Low,0.9577,10,"great location jr. suite great, clean comfortable, close pike market town walking distance, breakfas... || great location room bit reading great things canal house decided place recent visit amsterdam, hotel..."
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,1.5,Short,30,Low,0.8849,6,"good bad beach okay okay read reviews, run gamut, believe, good beach beautiful staff friendly horse... || good value friendly hotel paris november year christmas shopping, stayed la pera year prices doubled..."
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1.0,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,1.0,Short,10,Low,0.8744,7,"hostel hotel hotel suitable non fussy traveller looking bed couple nights, location ideal block shab... || good hotel, stayed 3 nights january, room warm windows opened ventilation, small kitchen great boili..."
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,2.5,Short,75,Low,0.7927,4,"iberstar bavaro returned form iberostar bavaro nite, stay resort 2/6 2/14, stayed longer, review feb... || great location staff hotel perfect location old san juan, hotel nice staff courteous, walking distan..."
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,1.5,4.8,0,Yes,,Religious,No,1.2,All,1.5,Short,0,Free,0.8384,8,"loved, going sure, travel tourism student peterborough, just week safe trip trip college, 50, resort... || stayed excellence club worse vacation wait room greenwater hot-tub room water overflowed showers bla..."
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,1.0,4.5,0,No,,Nature,Yes,0.01,Morning,1.0,Short,0,Free,0.878,3,"great resort just returned principe january 22/05, reading poor reviews little concerned fears groun... || club grand paradise bavaro stayed club grand paradise week february trip punta cana, previously stay..."
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,1.5,4.6,15,No,,Nature,Yes,0.065,Morning,1.5,Short,15,Low,0.9681,10,"good not really design hotel stayed hotel 2 years ago standard n't changed, good location want eixam... || good choice hotel facing darling harbour 5 min walk convention center great choice no matter need, e..."
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,3.0,4.5,100,No,,Wildlife,Yes,0.1,Morning,3.0,Short,100,Low,0.9711,10,"great hotel stayed hotel tour group, hotel beautiful clean, food restaurants good good selection, st... || nice stay park hotel nice 3-day stay park hotel couple weeks ago, got good price 150 u.s. night club..."
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,3.0,4.5,50,No,,Wildlife,Yes,0.05,Morning,3.0,Short,50,Low,0.9532,7,"friendly family stayed h___tel louvre sainte anne 4 nights early august, disappointed, pros friendly... || enjoyed barcelo premium stayed hotels punta cana rooms far beach pools restaurants, perfect, pools b..."
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,1.5,Short,10,Low,0.9784,6,"amazing trip beautiful resort trip highschool graduation present family, went 14 people ages 17-25. ... || loved melia paradisus husband just returned 2 week vacation paradisus trip punta cana time paradisus..."
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1.0,3.9,50,No,,Historical,Yes,0.03,Afternoon,1.0,Short,50,Low,0.4598,8,"good value noisy stayed 5 nights, large rooms clean, no real extras like pool safes, free parking tr... || nice recently stayed westin rio mar say pleasurable visit, hotel nice service okay, firsty got room ..."
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,2.0,4.6,25,No,,Archaeological,Yes,0.07,Afternoon,2.0,Short,25,Low,0.9251,10,"no complaints staff friendly spoke good english, room/hotel appeared work, good standard continental... || clean spacious rooms nice 4-star hotel, room spacious clean breakfast decent, admit spent night,  ..."
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1.0,4.4,0,No,,Religious,Yes,0.01,All,1.0,Short,0,Free,0.9016,6,"not happier went new orleans business stay 2 weeks, not 22 years no idea stay budget, hotel came int... || money waiste right ahead book barcele punta cana start n't speak spanish forget thank god husband di..."
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,1.5,4.4,0,No,,Nature,Yes,0.1,Morning,1.5,Short,0,Free,0.9789,5,"loved, stayed iberville suites 4 nights end march, great location building ritz carlton, just 1 bloc... || great value, stayed hotel europa separate occasions october say wow, location perfect rooms comforta..."
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,1.0,4.7,0,Yes,,Recreational,Yes,0.03,Morning,1.0,Short,0,Free,0.914,10,"stay pleasant spent week including easter weekend hotel extremely pleasant, service friendly rooms c... || nice rooms good city hotel nice design entrance rooms, arranged detail.the service breakfast excelle..."
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,2.0,4.1,0,No,,Adventure,Yes,0.05,Morning,2.0,Short,0,Free,0.3586,3,"great hotel heart nyc stayed nights following cruise really pleased level service quality accommodat... || not recommend melia caribe tropical dominican republic matter, traveled extensively carribean bad ex..."
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1.5,4.7,0,Yes,,Religious,No,0.15,All,1.5,Short,0,Free,0.7912,8,"gday menzies hotel ok fine central sydney location certainly not plush, great location walking accom... || fabulous, reading reviews tripadvisor booked directly hotel, problems contacting e mail initially wh..."
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,1.5,4.5,0,No,,Nature,Yes,0.1,Morning,1.5,Short,0,Free,0.8557,7,"excellent hotel, stayed hotel long weekend january superb, staff friendly efficient speak good engli... || second different opinion husband spent 1 night original 3 reserved absolutely hated, room family res..."
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1.0,4.8,0,No,,Religious,Yes,0.025,Morning,1.0,Short,0,Free,0.9727,7,great vacation rio mar wife visited puerto rico august 16-21. chose rio mar amenities not disappoint... || great holiday travelled punta cana january 15th week stay.first choice travel airline instead skyser...
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,3.0,4.5,50,No,,Wildlife,Yes,0.2,All,3.0,Short,50,Low,0.9571,10,"great hotel rooms comfortable clean fully equiped needed make stay comfortable, evening free buffet ... || unhelpful unfriendly staff hotel excellent location unfriendly unhelpful staff, wife 50th birthday d..."
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,2.0,4.4,0,No,,Recreational,Yes,0.01,Morning,2.0,Short,0,Free,0.9423,5,"swee san francisco suite 345 wow love suite, talk view, saw aquadic park golden gate bridge room alc... || welcoming hotel great location friendly staff stayed hotel night november soon walked reception warm..."
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,2.0,4.5,0,No,,Nature,Yes,0.01,Morning,2.0,Short,0,Free,0.9052,3,"loved ritz couple friends stayed ritz barcelona april 7-12.we loved moment stay, going afraid hotel ... || best nyc comfort privacy luxury walking distance needed business trip nyc.i,  ..."
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,2.0,4.4,150,Yes,,Historical,Yes,0.1,All,2.0,Short,150,Low,0.8029,3,"readers reported just returned 3 nights cartwright readers reported, clean exceptionally pleasant he... || enjoyed stay, stayed 4 nights start september, spent ages trying suitable hotel la, time liked revie..."
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1.5,4.6,0,Yes,,Agricultural,Yes,0.015,Morning,1.5,Short,0,Free,0.2137,5,"worst jw marriott stayed, 1st glance jw marriott like hidden gem miami downtown hotels 2nd glance po... || worst hotel experience booked nonsmoking room online weeks advance stay crowne plaza downtown seattl..."
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1.5,4.6,0,No,,Nature,Yes,0.01,Morning,1.5,Short,0,Free,0.9582,6,"loved, booked hotel unique rooms great location not disappointed, hotel great location lots restaura... || beautiful beach iberostar bavaro feb 25 mar 4 2006pros great beach best beach better playa del carma..."
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2.0,4.8,2500,No,,Adventure,Yes,0.01,All,2.0,Short,2500,High,0.79,10,"little isolated 12-25 1-1-04 loved resort buffets good al cartes, little isolated resort, bus rides ... || bates motel dropped outside hotel hearts sunk seen outside welcome unfriendly receptionists epitomis..."
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,5.0,4.8,0,Yes,,Adventure,Yes,0.01,Morning,5.0,Short,0,Free,0.9839,7,"enchanting place, new york traveled puerto rico family reunion decided tamarindo estates, little apa... || great hotel spent 3 nights figure easter weekend week trip italy, best hotel stayed trip, great loca..."
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1.0,4.6,0,No,,Religious,Yes,1.3,Morning,1.0,Short,0,Free,0.9366,10,"delighted, reviews hotel brief.we absolutely loved stay cambridge suites hotel, staff delightful che... || oasis city just returned 5 day stay, hotel clean charming, standard rooms small not european standar..."
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,2.0,4.5,0,Yes,,Nature,Yes,1.1,All,2.0,Short,0,Free,-0.0676,4,"cheap freindly dirty, say cheap amsterdam location good bars shops stayed floor walls covered black ... || gorgeous hotel spent 3 days keppler loved minute arrived.it lovely place really decorated, staff rea..."
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,2.0,4.7,0,No,,Nature,Yes,1.2,Morning,2.0,Short,0,Free,0.8213,10,"fantastic experience stayed hotel 1898 business trip barcelona, discovered hotel coincidence looking... || nice hotel good location rip taxis, stayed 6 days hawaii before.travelled la hawaiian airlines, told..."
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,2.5,4.4,0,No,,Nature,Yes,0.9,Morning,2.5,Short,0,Free,0.9504,8,"charmed spent 3 nights wife december hotel near tram buses corner, hotel quiet street good rest tour... || valentine day paris wife enjoyed stay, desk staff extremely friendly helpful, advertised hotel perfe..."
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,5.0,3.8,1500,Yes,,Recreational,Yes,0.1,All,5.0,Short,1500,High,0.8801,4,"perfect location location location location, walking distance major points interest.rooms soundproof... || immaculate luxurious husband spent days domincan republic- paradisus punta cana palma real, definite..."
Northern,Uttarakhand,Nainital,Naini Lake,Lake,1.5,4.2,0,Yes,,Nature,Yes,0.01,Morning,1.5,Short,0,Free,0.5262,7,"want star service stay star hotel, not going feel holiday partner went got paid for.the staff work h... || nice room improvement wife just returned 8 night stay iberostar bavaro, second vacation dr fifth sta..."
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1.0,4.4,0,Yes,,Cultural,Yes,0.03,Morning,1.0,Short,0,Free,0.9757,4,"great place great time, beach excellent water clean clear, resort huge laid absolutely spotless, roo... || fantastic, husband 13yr old 7yr old daughters 10 nights july loved it.the hotel grounds pools staff ..."
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,1.0,4.5,0,Yes,,Religious,Yes,0.025,All,1.0,Short,0,Free,0.43,8,"stylish located stayed new year rooms hotel great location restaurants tapas bars cafes end lively p... || no complaints located hotel, wife pleased quality service comfort room, use hotel,  ..."
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,1.5,4.5,25,Yes,,Nature,Yes,0.01,Morning,1.5,Short,25,Low,0.957,4,"tiny tiny rooms clean paying 60-80/night place probably nicer, pay twice conference town, saving gra... || excellent location/budget accommodations booked single online given huge corner room contained king ..."
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,1.5,4.2,15,Yes,,Nature,Yes,0.55,Morning,1.5,Short,15,Low,0.9781,5,"wonderful hotel, stayed 2 nights leaving 12-night cruise, looking website learned select hotels grou... || great location cut short previous trip seattle manager allowed transfer pre-paid days labor day week..."
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,3.0,4.5,0,No,,Adventure,Yes,0.01,Morning,3.0,Short,0,Free,0.9502,9,"convenient hotel stayed october happy rooms, adjoining rooms larger, rooms really quiet maintained n... || good value used hotel night stop way auz, arrived jet lagged 0900hrs no problem getting room straigh..."
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,1.0,4.8,0,No,,Religious,No,0.29,All,1.0,Short,0,Free,0.7678,7,"like experience clean bit small nice free wireless clean room great bed linens excellent business pl... || pluses minuses wonderful rooms great location bad phones okay service, reccomended notes 1. rooms br..."
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,2.0,4.3,150,No,,Wildlife,Yes,0.01,All,2.0,Short,150,Low,0.9778,5,"lovely food overstaffed stayed hotel 3 nights service nearly drove crackers, room lovely views great... || nice environment alooha, hotel great, room 15th floor partial ocean view, beautiful, got package pri..."
